epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.53075,1.09715,1.70602,1.4465,0.02637,0.21667,0.09246,0.05376,2.1171,4.9919,2.04051,0,0,0
2,4.8057,1.02012,1.90277,1.2935,0.05753,0.31667,0.12192,0.06488,2.03643,4.73098,1.99257,1.16055e-06,1.16055e-06,1.16055e-06
3,7.04101,0.97825,1.79255,1.44212,0.07336,0.56667,0.1367,0.05964,1.96606,4.40291,1.93939,2.26219e-06,2.26219e-06,2.26219e-06
4,9.41204,1.08922,1.58651,1.32078,0.05816,0.56667,0.15751,0.086,1.89579,4.20004,1.88092,3.30493e-06,3.30493e-06,3.30493e-06
5,11.7605,1.19136,1.77859,1.58156,0.10726,0.36667,0.25242,0.16793,1.86174,4.0275,1.84753,4.28876e-06,4.28876e-06,4.28876e-06
6,14.7084,1.45032,3.12641,1.87031,0.38313,0.28333,0.26352,0.20406,1.86777,3.77474,1.81485,5.21369e-06,5.21369e-06,5.21369e-06
7,17.0003,1.1106,1.20958,1.4293,0.61394,0.26602,0.26731,0.2027,1.84095,3.51148,1.77665,6.07971e-06,6.07971e-06,6.07971e-06
8,19.1842,0.89899,1.47284,1.3061,0.69894,0.25,0.27897,0.21124,1.85206,3.32398,1.76708,6.88683e-06,6.88683e-06,6.88683e-06
9,21.3562,1.00577,1.62727,1.35893,0.60734,0.26667,0.28519,0.20063,1.74948,3.09233,1.62703,7.63504e-06,7.63504e-06,7.63504e-06
10,23.6395,0.9894,2.07097,1.49665,0.74854,0.25,0.35481,0.23503,1.6809,2.9301,1.53801,8.32435e-06,8.32435e-06,8.32435e-06
11,25.793,1.21089,1.37976,1.53136,0.63111,0.3524,0.39246,0.24625,1.61581,2.75645,1.53565,8.95475e-06,8.95475e-06,8.95475e-06
12,27.953,0.90663,1.20774,1.32454,0.65024,0.356,0.46477,0.30912,1.55373,2.66062,1.48051,9.52625e-06,9.52625e-06,9.52625e-06
13,30.1669,0.86664,1.4438,1.13537,0.71229,0.36561,0.47088,0.32129,1.5231,2.54302,1.46607,1.00388e-05,1.00388e-05,1.00388e-05
14,32.2649,0.92529,1.255,1.36076,0.78579,0.34567,0.50374,0.32871,1.55403,2.43238,1.46617,1.04925e-05,1.04925e-05,1.04925e-05
15,34.3611,0.77858,0.89822,1.074,0.75607,0.3546,0.51992,0.35547,1.59396,2.36014,1.47157,1.08873e-05,1.08873e-05,1.08873e-05
16,36.4918,0.88145,1.03552,1.40694,0.67683,0.41635,0.5542,0.36312,1.6025,2.26937,1.46313,1.12232e-05,1.12232e-05,1.12232e-05
17,38.6308,0.63417,0.83025,1.05122,0.67647,0.42353,0.56808,0.39111,1.63298,2.16144,1.46828,1.15002e-05,1.15002e-05,1.15002e-05
18,40.7211,1.00162,0.97877,1.2899,0.67647,0.42353,0.56808,0.39111,1.63298,2.16144,1.46828,1.17182e-05,1.17182e-05,1.17182e-05
19,42.8927,0.89821,1.17969,1.137,0.6726,0.42425,0.6638,0.463,1.6647,2.00728,1.47464,1.18774e-05,1.18774e-05,1.18774e-05
20,45.1851,0.92739,0.82479,1.20249,0.6726,0.42425,0.6638,0.463,1.6647,2.00728,1.47464,1.19776e-05,1.19776e-05,1.19776e-05
21,47.3685,0.92358,1.72843,1.37943,0.66396,0.43296,0.67228,0.4891,1.63551,1.87019,1.46912,1.2019e-05,1.2019e-05,1.2019e-05
22,49.532,1.01159,1.46096,1.46723,0.66396,0.43296,0.67228,0.4891,1.63551,1.87019,1.46912,1.20014e-05,1.20014e-05,1.20014e-05
23,51.7367,0.78288,1.16132,1.24006,0.72029,0.39444,0.67386,0.49453,1.62856,1.74028,1.45202,1.1925e-05,1.1925e-05,1.1925e-05
24,53.8631,1.08559,1.09732,1.49992,0.72029,0.39444,0.67386,0.49453,1.62856,1.74028,1.45202,1.17896e-05,1.17896e-05,1.17896e-05
25,56.0579,0.82935,0.89378,1.28694,0.71832,0.39618,0.7581,0.57618,1.62715,1.62981,1.44601,1.15954e-05,1.15954e-05,1.15954e-05
26,58.4275,1.00741,1.16529,1.38701,0.71832,0.39618,0.7581,0.57618,1.62715,1.62981,1.44601,1.13422e-05,1.13422e-05,1.13422e-05
27,61.1948,0.80981,0.88027,1.30133,0.97189,0.34873,0.91117,0.59167,1.62563,1.5386,1.43828,1.10301e-05,1.10301e-05,1.10301e-05
28,63.5799,0.68504,0.73382,1.07398,0.97189,0.34873,0.91117,0.59167,1.62563,1.5386,1.43828,1.06591e-05,1.06591e-05,1.06591e-05
29,66.1167,0.84419,0.94724,1.21652,0.97335,0.35647,0.84519,0.58415,1.61302,1.47277,1.42898,1.02292e-05,1.02292e-05,1.02292e-05
30,68.3207,1.08857,1.49706,1.38411,0.97335,0.35647,0.84519,0.58415,1.61302,1.47277,1.42898,9.74045e-06,9.74045e-06,9.74045e-06
31,70.4253,0.77072,1.01583,1.10486,0.9752,0.35875,0.89147,0.6119,1.61086,1.43583,1.41638,9.19275e-06,9.19275e-06,9.19275e-06
32,72.5724,0.71803,0.62807,1.11482,0.9752,0.35875,0.89147,0.6119,1.61086,1.43583,1.41638,8.58615e-06,8.58615e-06,8.58615e-06
33,74.8152,0.59854,0.56987,1.02699,0.69992,0.63333,0.88768,0.61885,1.62288,1.39833,1.4185,7.92064e-06,7.92064e-06,7.92064e-06
34,76.911,0.51703,0.49405,0.89394,0.69992,0.63333,0.88768,0.61885,1.62288,1.39833,1.4185,7.19623e-06,7.19623e-06,7.19623e-06
35,79.081,0.61353,0.55977,1.06584,0.54772,0.6691,0.88737,0.60231,1.60197,1.36108,1.41365,6.41291e-06,6.41291e-06,6.41291e-06
36,81.1524,0.55306,0.51318,1.01439,0.54772,0.6691,0.88737,0.60231,1.60197,1.36108,1.41365,5.57069e-06,5.57069e-06,5.57069e-06
37,83.2834,0.65033,0.73579,1.05853,0.59772,0.71667,0.85589,0.61687,1.57117,1.30875,1.40407,4.66956e-06,4.66956e-06,4.66956e-06
38,85.342,0.53884,0.48613,1.06103,0.59772,0.71667,0.85589,0.61687,1.57117,1.30875,1.40407,3.70953e-06,3.70953e-06,3.70953e-06
39,87.4156,0.62035,0.47673,1.01121,0.62296,0.78333,0.9351,0.62265,1.56781,1.29815,1.40477,2.69059e-06,2.69059e-06,2.69059e-06
40,89.4844,0.63685,0.62278,1.05753,0.62296,0.78333,0.9351,0.62265,1.56781,1.29815,1.40477,1.61275e-06,1.61275e-06,1.61275e-06
